author,title,description,url,publishedAt,source,language
Carlos Prego,Alguien se olvidó unos papeles sobre su coche. Y complicó con ello la reactivación de la central nuclear más grande del mundo,"No es que la vida supere a la ficción, es que en ciertas ocasiones parece seguir directamente un guion escrito por el mejor comediante de Hollywood. Acaba de ocurrir en Niigata, Japón, donde un despiste al más puro estilo Mr. Bean ha dejado en evidencia Tepco…",https://www.xataka.com/energia/alguien-se-olvido-unos-papeles-su-coche-complico-ello-reactivacion-central-nuclear-grande-mundo,2023-05-27T14:00:40Z,Xataka.com,es
https://www.facebook.com/bbcnews,Ucrania dice estar lista para una contraofensiva militar contra Rusia,"El secretario del Consejo Seguridad Nacional de Ucrania, Oleksiy Danilov, dijo a la BBC que Kyiv tiene una ""oportunidad histórica"" para propinarle un golpe certero a Rusia.",https://www.bbc.com/mundo/noticias-internacional-65731871,2023-05-27T09:11:36Z,BBC News,es
Ángela Reyes Haczek,Última hora y noticias en vivo de la guerra de Rusia en Ucrania,"El comandante en jefe de Ucrania ha aumentado las especulaciones sobre la inminencia de una contraofensiva contra las fuerzas rusas. ""Ha llegado el momento de recuperar lo que es nuestro"", escribió el general Valerii Zaluzhyhi en un mensaje en Telegram.
<ul>
…",https://cnnespanol.cnn.com/2023/05/27/ultima-hora-y-noticias-en-vivo-de-la-guerra-de-rusia-en-ucrania-3-orix/,2023-05-27T10:32:02Z,CNN,es
Ángela Reyes Haczek,Última hora y noticias en vivo de la guerra de Rusia en Ucrania,"El comandante en jefe de Ucrania ha aumentado las especulaciones sobre la inminencia de una contraofensiva contra las fuerzas rusas. ""Ha llegado el momento de recuperar lo que es nuestro"", escribió el general Valerii Zaluzhyhi en un mensaje en Telegram.
<ul>
…",https://cnnespanol.cnn.com/2023/05/27/ultima-hora-y-noticias-en-vivo-de-la-guerra-de-rusia-en-ucrania-3/,2023-05-27T10:32:02Z,CNN,es
Eric Galián,Goods News se vuelca en París y no abrirá más quioscos,"GoodNews ha dado un giro a su estrategia de crecimiento debido a la incertidumbre económica, la alta inflación y los efectos de la guerra en Ucrania. En vez de entrar en nuevas urb",https://www.expansion.com/catalunya/2023/05/27/6471006ee5fdea35018b45b5.html,2023-05-27T08:28:00Z,Expansion.com,es
Expansión.com,Ucrania afirma que las fuerzas rusas han reducido su actividad en Bajmut debido a las bajas,"En los últimos días se han producido entre una y tres escaramuzas al día, &quot;mucho menos que en meses anteriores&quot;, dijo en declaraciones recogidas por la cadena pública &qu",https://www.expansion.com/economia/politica/2023/05/27/6471e476468aeb67578b4607.html,2023-05-27T11:07:58Z,Expansion.com,es
Paula Arantzazu Ruiz,Ecos de Chaplin y la fe en el amor en tiempos de guerra: Aki Kaurismäki firma la película que nos ha enamorado en el Festival de Cannes 2023,"En 'Fallen Leaves', Aki Kaurismäki parece haber realizado su propia versión de 'Luces en la ciudad', de Charles Chaplin, tamizada por los ecos de la guerra en Ucrania y con los sempiternos problemas de la clase proletaria que con tanto compromiso y sensibilid…",https://www.espinof.com/criticas/ecos-chaplin-fe-amor-tiempos-guerra-aki-kaurismaki-firma-pelicula-que-nos-ha-enamorado-festival-cannes-2023,2023-05-27T16:00:41Z,Espinof.com,es
"RT en Español
 , RT en Español",Ucrania lanza ataques contra edificios residenciales de Donetsk (FOTOS),,https://actualidad.rt.com/actualidad/468388-ataques-ucrania-donetsk-impactos-viviendas,2023-05-27T15:42:16Z,RT,es
"RT en Español
 , RT en Español","""Estábamos obligados"": Ucrania insinúa que estuvo detrás de la explosión en el puente de Crimea","El jefe del Servicio de Seguridad de Ucrania, Vasili Malyuk, argumentó que el puente es una ruta logística de Moscú que se debía cortar.",https://actualidad.rt.com/actualidad/468355-ucrania-insinuacion-detras-explosion-puente-crimea,2023-05-27T11:30:05Z,RT,es
"RT en Español
 , RT en Español",Legisladores de EE.UU. revelan un plan de preparación de Taiwán para una guerra con Pekín,Los congresistas recomiendan que el Pentágono aproveche su experiencia en la transferencia de armas a Ucrania y aplique esas lecciones con la isla.,https://actualidad.rt.com/actualidad/468359-legisladores-eeuu-revelar-plan-preparacion-taiwan-guerra-pekin,2023-05-27T12:39:01Z,RT,es
"RT en Español
 , RT en Español",Reportan que Ucrania solicitó a Alemania misiles de crucero Taurus capaces de alcanzar Moscú,"Sin embargo, hay preocupación de que ""Kiev apueste por una escalada incontrolada"" si recibe estos misiles, informa un periódico alemán.",https://actualidad.rt.com/actualidad/468345-ucrania-solicito-alemania-misiles-moscu,2023-05-27T08:04:21Z,RT,es
Juanjo Fernández,Bajmut es la prueba: Rusia ha creado sin quererlo el ejército ucraniano más poderoso,"El jefe del grupo paramilitar ruso Wagner ha reconocido que Rusia ha logrado que Ucrania se convierta en uno de los ejércitos más fuertes del mundo. La eterna toma de Bajmut, un objetivo estratégico, es el ejemplo más reciente",https://www.elconfidencial.com/tecnologia/2023-05-27/bajmut-prueba-rusia-ejercito-ucraniano-poderoso_3637824/,2023-05-27T13:40:00Z,Elconfidencial.com,es
Fernando Hernandez,El temor de Reino Unido ante una derrota de Rusia en la guerra,"<![CDATA[<p>El jefe del Estado Mayor del Aire de las Fuerzas Armadas británicas, el mariscal jefe Mike Wigston, ha advertido de que Rusia se tornará más ""vengativa"" si sale derrotada de la guerra en Ucrania, y representará una amenaza directa para Reino Unido…",https://www.huffingtonpost.es/global/temor-reino-unido-derrota-rusia-guerra.html,2023-05-27T12:10:52Z,Huffingtonpost.es,es
